Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Expiry_Year,Expiry_Month,Expiry_Day,Name,Type,Address,City,Contact
13,Fruits,33,2025-03-22,115,Grocery Store,Floresville,Vegetarian,Snacks,2025,March,22,Wells-Davis,Grocery Store,"16029 Lisa Junctions
Port Mary, AZ 64519",Floresville,322.221.0619x89960
14,Bread,19,2025-03-30,621,Supermarket,Sarahland,Vegetarian,Dinner,2025,March,30,Chan Group,Supermarket,"5632 Katie Forks Suite 162
West Markfurt, AR 19503",Sarahland,+1-119-104-8140x852
15,Salad,3,2025-03-22,74,Catering Service,Belindaville,Vegetarian,Breakfast,2025,March,22,Johnston Ltd,Catering Service,"58406 Pamela Mission
Leestad, OH 88592",Belindaville,5630753213
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegan,Snacks,2025,March,26,Obrien-Carr,Grocery Store,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011
17,Chicken,42,2025-03-22,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks,2025,March,22,"Glover, Wilson and Hudson",Restaurant,"3045 Joshua Fall Suite 109
Khanshire, AL 47705",East Ashleyshire,(315)080-3138
18,Soup,28,2025-03-27,455,Catering Service,Madisonfort,Vegan,Snacks,2025,March,27,Rios Group,Catering Service,"58472 Snyder Squares
Port Zacharyton, CT 67515",Madisonfort,003-727-0894x163
19,Rice,13,2025-03-30,419,Supermarket,Port Peter,Vegan,Breakfast,2025,March,30,"Hanson, Wilkerson and Lee",Supermarket,"948 Evans Green
Lake Carol, GA 38897",Port Peter,759.535.5451
20,Pasta,41,2025-03-17,306,Catering Service,North Keith,Non-Vegetarian,Snacks,2025,March,17,"Evans, Wright and Mitchell",Catering Service,"73725 Anthony Way Apt. 971
West Pamela, OH 61366",North Keith,001-726-568-9224
21,Rice,38,2025-03-26,277,Catering Service,West Aliciabury,Vegan,Dinner,2025,March,26,Ramos and Sons,Catering Service,"6378 Kendra Greens
East Jacob, IN 59852",West Aliciabury,5918690343
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Vegan,Snacks,2025,March,21,Flores-Wade,Grocery Store,"43443 Campbell Highway
Ricetown, MA 95006",Russellfurt,525-492-4716
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner,2025,March,26,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480
24,Bread,20,2025-03-30,897,Catering Service,Villastad,Non-Vegetarian,Lunch,2025,March,30,Stephens-Braun,Catering Service,"657 Charles Streets
North Carolineberg, AR 77518",Villastad,001-744-282-3182
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast,2025,March,22,Wilson Group,Restaurant,"Unit 6637 Box 3119
DPO AP 06435",Medinatown,4943539272
26,Vegetables,34,2025-03-27,95,Supermarket,Christinaland,Vegan,Dinner,2025,March,27,Orr Inc,Supermarket,"5940 Klein Junctions
Jenniferborough, PA 44116",Christinaland,+1-415-991-8966
27,Salad,12,2025-03-23,262,Supermarket,New Carol,Vegan,Breakfast,2025,March,23,Bradford-Martinez,Supermarket,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254
28,Chicken,5,2025-03-22,606,Grocery Store,North Nathan,Vegan,Dinner,2025,March,22,"Freeman, Decker and Johnson",Grocery Store,"6294 Gregory Throughway Suite 517
West Marychester, NM 35832",North Nathan,290-849-5446x412
29,Bread,18,2025-03-19,196,Restaurant,Bartonborough,Vegan,Lunch,2025,March,19,Owens-Taylor,Restaurant,"553 Emily Mountains Suite 339
East Mary, MI 74272",Bartonborough,+1-977-169-9906x1607
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,2025,March,16,Moore-Flowers,Restaurant,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129
31,Bread,42,2025-03-22,535,Grocery Store,Valdezborough,Non-Vegetarian,Snacks,2025,March,22,Hill PLC,Grocery Store,"8470 Brandon Extension
North Rhondastad, AK 50332",Valdezborough,+1-157-982-5008x743
32,Rice,27,2025-03-21,611,Supermarket,Port Kendraborough,Non-Vegetarian,Lunch,2025,March,21,Williams-Manning,Supermarket,"99495 Cook Fork Apt. 475
North David, WA 68629",Port Kendraborough,001-050-248-0430x1092
33,Salad,9,2025-03-27,798,Grocery Store,North Amanda,Vegetarian,Breakfast,2025,March,27,Jordan LLC,Grocery Store,"2673 Maria Knolls
Comptonborough, NY 52749",North Amanda,+1-073-137-5460
34,Bread,3,2025-03-30,396,Catering Service,Heatherside,Vegan,Breakfast,2025,March,30,Chase-Gross,Catering Service,"950 Nicole Burg Suite 178
Donnamouth, AL 08654",Heatherside,(041)493-1650
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,2025,March,23,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329
36,Rice,35,2025-03-20,1,Supermarket,New Jessica,Vegan,Breakfast,2025,March,20,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,2025,March,20,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223
38,Bread,48,2025-03-22,440,Grocery Store,Elliottberg,Vegetarian,Snacks,2025,March,22,Martinez-Graham,Grocery Store,"002 Jessica Pine Suite 278
Davidville, NE 33218",Elliottberg,001-974-692-9262x419
39,Bread,48,2025-03-22,758,Catering Service,Port Patrick,Non-Vegetarian,Breakfast,2025,March,22,Todd Group,Catering Service,"Unit 6259 Box 3832
DPO AE 28167",Port Patrick,236.722.8623
40,Fruits,12,2025-03-27,965,Restaurant,Port Bryce,Vegetarian,Breakfast,2025,March,27,Oconnor Ltd,Restaurant,"49967 Victoria Union Suite 176
Watkinsport, NC 14235",Port Bryce,+1-484-031-6824x10667
41,Chicken,14,2025-03-27,450,Catering Service,Grahamside,Vegetarian,Dinner,2025,March,27,Gibson and Sons,Catering Service,"0835 Franco Common
East Martha, SD 01753",Grahamside,(804)688-7617
42,Rice,50,2025-03-16,179,Supermarket,North Michelle,Vegan,Lunch,2025,March,16,"Lucas, Bush and Miller",Supermarket,"4664 Debra Row Apt. 580
Lake Stephen, TX 87375",North Michelle,3334774489
43,Pasta,44,2025-03-22,29,Grocery Store,Patrickmouth,Vegan,Lunch,2025,March,22,Andrews-Wiley,Grocery Store,"37741 Edward Green Apt. 840
Whiteport, WY 68558",Patrickmouth,+1-657-214-6013x08444
44,Bread,39,2025-03-22,290,Supermarket,Bradleyport,Vegan,Snacks,2025,March,22,"Webb, Phillips and Garcia",Supermarket,"09931 Snyder Station Apt. 218
Ritterborough, IL 82418",Bradleyport,001-401-943-3400
45,Fish,17,2025-03-24,874,Catering Service,Priceland,Non-Vegetarian,Lunch,2025,March,24,Long-Alexander,Catering Service,"4601 Samuel Ranch Suite 442
New Ronald, SC 13631",Priceland,328-638-0829x010
46,Pasta,25,2025-03-28,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast,2025,March,28,Townsend Inc,Catering Service,"39437 Alejandro Path Apt. 765
Olsonview, MS 29423",East Emilyburgh,001-820-820-2213x469
47,Salad,3,2025-03-17,420,Catering Service,Anthonyton,Vegan,Snacks,2025,March,17,Snyder Ltd,Catering Service,"04976 Harris River Apt. 880
Josephland, CT 42183",Anthonyton,805-601-1161x98115
48,Rice,30,2025-03-16,150,Grocery Store,North Jamesberg,Vegan,Breakfast,2025,March,16,"Powers, Clark and Snyder",Grocery Store,"8675 Reed Crest Suite 904
West Wendyborough, ID 45874",North Jamesberg,531-341-5220x02539
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner,2025,March,17,Webster and Sons,Supermarket,"9427 Jones Ridges Suite 824
South Brendan, CT 19533",Morriston,161.555.4218x17236
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegetarian,Dinner,2025,March,23,Roy-Hancock,Supermarket,"203 Dawn Ridge
Loganshire, SC 01665",Maxwellburgh,(186)046-9157
51,Dairy,14,2025-03-27,828,Catering Service,Torresshire,Vegetarian,Snacks,2025,March,27,Campbell LLC,Catering Service,"9892 Christopher Park Suite 948
Davidfurt, TN 47444",Torresshire,408.792.0799
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks,2025,March,29,"Gutierrez, Anthony and Shannon",Grocery Store,"6787 Jamie Fords Suite 103
Wademouth, IL 18159",Lake Justin,2924416283
53,Fruits,13,2025-03-16,174,Grocery Store,North Carolfurt,Vegetarian,Lunch,2025,March,16,"Gillespie, Foster and Boyd",Grocery Store,"Unit 1730 Box 5566
DPO AA 26190",North Carolfurt,001-862-502-0221x7258
54,Soup,15,2025-03-17,368,Grocery Store,North Lindseychester,Non-Vegetarian,Snacks,2025,March,17,Smith-Villegas,Grocery Store,"5916 Craig Courts
New Kevinfurt, MS 57479",North Lindseychester,001-467-901-7553
55,Vegetables,19,2025-03-17,967,Grocery Store,Coleburgh,Vegetarian,Breakfast,2025,March,17,Miller Inc,Grocery Store,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Non-Vegetarian,Lunch,2025,March,23,Brown-Grimes,Supermarket,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479
57,Chicken,23,2025-03-17,977,Restaurant,South Jessicachester,Vegan,Dinner,2025,March,17,Anderson and Sons,Restaurant,"1110 Martin Square Suite 965
West Anthony, VT 13086",South Jessicachester,759-596-1190x656
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,2025,March,28,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks,2025,March,22,Carter-Jones,Restaurant,"26720 Candace Inlet Suite 052
Hendersonton, MA 30678",East Terrancemouth,892-412-5796
60,Pasta,49,2025-03-28,153,Restaurant,Hawkinsmouth,Non-Vegetarian,Breakfast,2025,March,28,Wu LLC,Restaurant,"439 Oscar Mountains Suite 426
Lake Markmouth, MI 84788",Hawkinsmouth,350.191.5139x454
61,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegetarian,Lunch,2025,March,22,Davis-Hurley,Catering Service,"687 Sparks Forks
East Patricia, NC 25546",West Catherine,(172)389-0239x87614
62,Rice,21,2025-03-21,520,Catering Service,Port Andre,Non-Vegetarian,Breakfast,2025,March,21,"Jackson, Miller and Porter",Catering Service,"8021 Erin Trafficway
New Jamesport, TX 78396",Port Andre,257-230-5531
63,Salad,6,2025-03-20,335,Grocery Store,North Gary,Vegetarian,Dinner,2025,March,20,"Newman, Pearson and Mccarthy",Grocery Store,"4719 Darryl Isle
New Rebecca, GA 13003",North Gary,905.549.7068
64,Soup,41,2025-03-26,678,Grocery Store,Lake Travis,Non-Vegetarian,Dinner,2025,March,26,Ruiz-Oneal,Grocery Store,"934 Kelsey Shoals
Tiffanyburgh, IL 56636",Lake Travis,(569)363-0118
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,2025,March,26,Cole LLC,Grocery Store,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377
66,Fish,6,2025-03-22,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast,2025,March,22,Taylor-Matthews,Catering Service,"073 Cathy Trail Apt. 793
Nelsonfurt, NY 98042",Lake Donna,864-725-3991x8612
67,Rice,50,2025-03-24,455,Catering Service,Madisonfort,Vegan,Breakfast,2025,March,24,Rios Group,Catering Service,"58472 Snyder Squares
Port Zacharyton, CT 67515",Madisonfort,003-727-0894x163
68,Rice,15,2025-03-25,113,Catering Service,East Elizabethberg,Vegetarian,Snacks,2025,March,25,"Anderson, Nicholson and Bruce",Catering Service,"8546 James Fields Apt. 534
Hallborough, AL 55990",East Elizabethberg,+1-274-720-0033x1795
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks,2025,March,16,Small Ltd,Catering Service,"85125 Deanna Garden
New Sherry, IL 97694",Gaineschester,1943075475
70,Rice,7,2025-03-16,313,Supermarket,Boylechester,Vegetarian,Lunch,2025,March,16,Maldonado-Davis,Supermarket,"51547 Desiree Cape Suite 175
Port Benjaminfurt, RI 95290",Boylechester,9538261424
71,Fish,45,2025-03-19,750,Supermarket,Michaelton,Vegetarian,Lunch,2025,March,19,Barnes and Sons,Supermarket,"41662 John Shoals Apt. 246
West Shannon, NM 07777",Michaelton,(547)040-4732
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegan,Dinner,2025,March,24,Ibarra and Sons,Catering Service,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223
73,Soup,48,2025-03-19,485,Restaurant,East Andrea,Vegan,Breakfast,2025,March,19,Baker-Mcdonald,Restaurant,"290 Bowen Loaf Apt. 261
Gordonshire, ME 35368",East Andrea,933.503.6294x194
74,Chicken,12,2025-03-29,387,Grocery Store,West Juliabury,Non-Vegetarian,Breakfast,2025,March,29,Barrera-Ward,Grocery Store,"55591 Eric Corners Apt. 955
Riveraburgh, NJ 52897",West Juliabury,958.242.0037
75,Bread,35,2025-03-24,389,Grocery Store,Davidborough,Vegetarian,Dinner,2025,March,24,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223
76,Pasta,40,2025-03-16,905,Restaurant,North Kennethshire,Vegan,Lunch,2025,March,16,Ayers LLC,Restaurant,"901 Pacheco Dale
Robertport, OK 20674",North Kennethshire,(922)213-3651x61067
77,Rice,4,2025-03-19,890,Restaurant,Pereztown,Vegetarian,Lunch,2025,March,19,"Simpson, Mcguire and Brown",Restaurant,"950 Dawn Mountains
New Robert, MI 58996",Pereztown,274.464.1201x34627
78,Chicken,1,2025-03-23,913,Grocery Store,Erikatown,Non-Vegetarian,Dinner,2025,March,23,Crosby Group,Grocery Store,"81218 Peter Rest Apt. 173
East Caitlinport, NV 39150",Erikatown,+1-307-053-5303x7456
79,Rice,25,2025-03-19,100,Catering Service,Mooreview,Vegan,Breakfast,2025,March,19,Greene-Garcia,Catering Service,"USS Smith
FPO AE 39123",Mooreview,155.846.6299
80,Dairy,36,2025-03-29,434,Restaurant,Nicoletown,Vegetarian,Breakfast,2025,March,29,Kennedy-Johnston,Restaurant,"72862 Matthew Prairie Apt. 637
Reidland, CA 77085",Nicoletown,(669)695-7079x59486
81,Fruits,33,2025-03-18,848,Supermarket,Fowlerbury,Vegetarian,Snacks,2025,March,18,Fisher PLC,Supermarket,"350 Danny Flats Suite 806
Smithfort, IN 28216",Fowlerbury,+1-823-181-5943x270
82,Vegetables,26,2025-03-23,631,Supermarket,North Kevinhaven,Non-Vegetarian,Snacks,2025,March,23,"Mueller, Savage and Hudson",Supermarket,"959 Joseph Square Apt. 513
Lake Jennifer, IL 84011",North Kevinhaven,(995)505-1664
83,Rice,44,2025-03-28,312,Restaurant,North Ianbury,Vegetarian,Dinner,2025,March,28,Garcia-Hunter,Restaurant,"019 Amy Station
South Daniel, MD 51890",North Ianbury,150-729-4411
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks,2025,March,23,Miller Inc,Grocery Store,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729
85,Pasta,28,2025-03-16,554,Restaurant,Brandyberg,Vegan,Lunch,2025,March,16,Jackson Ltd,Restaurant,"325 Becker Pass
West Bobshire, MT 42103",Brandyberg,920-705-5617x44135
86,Soup,13,2025-03-30,288,Supermarket,Maynardstad,Vegetarian,Dinner,2025,March,30,Carlson-Mathis,Supermarket,"98491 Matthews Mall
Lake Juantown, NY 51580",Maynardstad,518.257.3189x434
87,Salad,37,2025-03-28,34,Grocery Store,North Garybury,Vegan,Breakfast,2025,March,28,"Cooper, Smith and King",Grocery Store,"439 Barnes Courts Apt. 349
South Gregory, MO 73315",North Garybury,+1-812-193-0704x61726
88,Vegetables,22,2025-03-21,491,Supermarket,Samanthabury,Non-Vegetarian,Dinner,2025,March,21,Wilkerson-Woods,Supermarket,"51520 Deborah Views Apt. 001
Moranbury, VT 92348",Samanthabury,3597678978
89,Chicken,3,2025-03-27,844,Grocery Store,Olsenstad,Vegan,Lunch,2025,March,27,Gallagher-Brown,Grocery Store,"USNV Morris
FPO AP 79488",Olsenstad,9339428554
90,Bread,29,2025-03-23,477,Supermarket,East Jacobchester,Vegan,Breakfast,2025,March,23,Alvarado LLC,Supermarket,"48690 Boyle Plaza Suite 271
North Briantown, AK 84478",East Jacobchester,5915828492
91,Vegetables,9,2025-03-22,275,Supermarket,Brittanyport,Vegetarian,Breakfast,2025,March,22,"Floyd, Jones and Alvarado",Supermarket,"55399 Bullock Cove Apt. 326
East Latoya, KY 21621",Brittanyport,106.317.0700x02344
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Vegetarian,Breakfast,2025,March,20,Butler-Richardson,Grocery Store,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616
93,Salad,49,2025-03-20,264,Catering Service,New Richard,Vegetarian,Lunch,2025,March,20,Holland and Sons,Catering Service,"430 Tyler View Apt. 166
South Katherine, TX 04269",New Richard,184-401-2586x9344
94,Rice,35,2025-03-16,722,Restaurant,Linchester,Vegetarian,Lunch,2025,March,16,Young-Luna,Restaurant,"42661 Harris Motorway Apt. 610
Garrettville, OH 22338",Linchester,001-367-389-8038x71593
95,Pasta,19,2025-03-24,120,Restaurant,New Lisa,Vegan,Snacks,2025,March,24,Burns-Davis,Restaurant,"100 Jill Trail Suite 664
Danielmouth, TX 62651",New Lisa,+1-749-554-2482x64065
96,Dairy,5,2025-03-25,656,Restaurant,South Tiffanyfort,Non-Vegetarian,Breakfast,2025,March,25,Henry PLC,Restaurant,"10897 Duncan Manors Apt. 117
Whitneyshire, IA 92311",South Tiffanyfort,104.576.7855x2145
97,Rice,44,2025-03-21,346,Grocery Store,Thomasville,Vegetarian,Dinner,2025,March,21,"Phillips, Wolfe and Martin",Grocery Store,"Unit 1376 Box 6294
DPO AE 62072",Thomasville,001-548-413-4962
98,Salad,26,2025-03-29,632,Supermarket,Davidville,Vegetarian,Breakfast,2025,March,29,"Oliver, Ross and Johnson",Supermarket,"24971 Stephanie Manors Suite 735
East Jessemouth, SD 28563",Davidville,001-179-898-4092
99,Bread,8,2025-03-28,162,Restaurant,Penabury,Non-Vegetarian,Dinner,2025,March,28,"Moore, Perez and Young",Restaurant,"48313 Taylor Junctions Apt. 845
Petersborough, VT 51814",Penabury,345.405.3372x9178
100,Vegetables,22,2025-03-18,647,Restaurant,West Kara,Vegan,Breakfast,2025,March,18,Hayes Inc,Restaurant,"196 Emma Ville
South Lisaside, CT 21368",West Kara,423-402-5949x4533
101,Dairy,35,2025-03-23,538,Restaurant,Jasonmouth,Non-Vegetarian,Dinner,2025,March,23,Beck Inc,Restaurant,"102 Jackson Plaza Apt. 330
North Meganborough, NC 67139",Jasonmouth,963-484-4775x327
102,Rice,35,2025-03-19,584,Supermarket,Moralesside,Vegetarian,Snacks,2025,March,19,Sanders-Hale,Supermarket,"41546 Frank Islands
Lake Reginaldberg, AR 06319",Moralesside,+1-625-938-4941x95891
103,Bread,35,2025-03-30,391,Supermarket,South Jerryside,Non-Vegetarian,Snacks,2025,March,30,Lambert Ltd,Supermarket,"10860 Jones Fields
North Nicholasmouth, MI 89187",South Jerryside,351.542.5864x527
104,Dairy,3,2025-03-29,468,Supermarket,East Johnburgh,Non-Vegetarian,Dinner,2025,March,29,Alexander-Mendoza,Supermarket,"08769 Colleen Mount Apt. 218
Torresberg, TN 59083",East Johnburgh,596.249.3643x159
105,Rice,2,2025-03-24,698,Grocery Store,Phillipsmouth,Non-Vegetarian,Breakfast,2025,March,24,Hawkins-Novak,Grocery Store,"2372 Jessica Lake
Lake Tamara, NY 49712",Phillipsmouth,961.144.7736x679
106,Rice,31,2025-03-19,253,Catering Service,Sharonton,Vegetarian,Breakfast,2025,March,19,Gonzales-Keith,Catering Service,"4934 Mitchell Lake
Sharonchester, NJ 09163",Sharonton,986-491-7149x656
107,Salad,29,2025-03-25,464,Catering Service,Port Jacob,Vegetarian,Breakfast,2025,March,25,Barber Ltd,Catering Service,"9428 Garcia Loop Apt. 919
Amberfurt, KY 73455",Port Jacob,001-045-508-9337x308
108,Fruits,22,2025-03-25,835,Catering Service,Thorntonbury,Non-Vegetarian,Snacks,2025,March,25,Smith-Paul,Catering Service,"807 Taylor Stream
New Cameron, AR 20442",Thorntonbury,001-222-287-5923x26280
109,Fruits,7,2025-03-24,998,Grocery Store,Joshuastad,Vegan,Dinner,2025,March,24,Novak Group,Grocery Store,"934 Zachary Run
Melissamouth, WY 02729",Joshuastad,(903)642-1969x3300
110,Salad,49,2025-03-17,354,Catering Service,South Alicia,Vegan,Dinner,2025,March,17,Rowe-Arias,Catering Service,"8041 Joseph Shoal Suite 878
North Robertfurt, KY 43667",South Alicia,090-649-4737
111,Soup,13,2025-03-17,904,Grocery Store,West Miaside,Vegetarian,Snacks,2025,March,17,Smith-Morales,Grocery Store,"92861 Megan Extension Apt. 163
Jacobsburgh, MD 32991",West Miaside,481.162.2452x4959
112,Chicken,32,2025-03-25,308,Catering Service,Brittanyside,Vegetarian,Lunch,2025,March,25,Doyle LLC,Catering Service,"8157 Tammy Road
West Stephenchester, NC 16381",Brittanyside,0312154595
113,Soup,14,2025-03-16,623,Supermarket,Latoyaberg,Vegetarian,Breakfast,2025,March,16,Williams Inc,Supermarket,"8908 Rich Road
Marvinfurt, MT 26167",Latoyaberg,(031)347-8261
114,Vegetables,28,2025-03-27,906,Supermarket,West Kevin,Vegan,Breakfast,2025,March,27,Wright LLC,Supermarket,"PSC 1473, Box 2158
APO AE 95836",West Kevin,001-515-383-6029x214
115,Pasta,8,2025-03-26,963,Supermarket,East Bernard,Vegan,Lunch,2025,March,26,Johnson PLC,Supermarket,"38009 Oconnor Prairie
Janicemouth, MS 31632",East Bernard,(764)089-8990x152
116,Soup,32,2025-03-23,570,Supermarket,Lake Vanessa,Vegetarian,Lunch,2025,March,23,"Jones, Calderon and Finley",Supermarket,"213 Rodriguez Club Apt. 768
Murphyhaven, ND 27372",Lake Vanessa,001-277-343-9322x828
117,Soup,32,2025-03-21,530,Catering Service,Johnstonhaven,Non-Vegetarian,Snacks,2025,March,21,"Spencer, Eaton and Young",Catering Service,"904 Freeman Lodge Suite 905
Lake Stephanieshire, NE 73215",Johnstonhaven,808.707.2502x64682
118,Dairy,42,2025-03-28,863,Restaurant,Port Michael,Vegan,Lunch,2025,March,28,Johnson-Mejia,Restaurant,"USNS Callahan
FPO AA 79594",Port Michael,(145)733-6977x4017
119,Bread,49,2025-03-28,135,Catering Service,East Candace,Non-Vegetarian,Breakfast,2025,March,28,Dyer Group,Catering Service,"601 Kent Mills Apt. 098
New Robertstad, NY 73393",East Candace,906.900.1026
120,Rice,30,2025-03-18,785,Catering Service,Lindseybury,Vegan,Lunch,2025,March,18,Crane LLC,Catering Service,"32159 Bradley Canyon
Stevensonside, VA 33070",Lindseybury,001-004-545-5901x1754
121,Vegetables,16,2025-03-30,314,Restaurant,Rodriguezfurt,Non-Vegetarian,Dinner,2025,March,30,Wright-Mcclure,Restaurant,"569 Laurie Lake
Lake Erikview, WY 06966",Rodriguezfurt,+1-982-494-3609x2407
122,Fruits,7,2025-03-20,846,Supermarket,South Thomasville,Vegan,Snacks,2025,March,20,Miller Inc,Supermarket,"7787 Warren Estates Suite 246
Phillipsburgh, OK 32953",South Thomasville,394.144.5269x2229
123,Soup,11,2025-03-25,148,Grocery Store,Annahaven,Vegetarian,Lunch,2025,March,25,"Perry, Cabrera and Owens",Grocery Store,"97775 Rice Forks
Johnsontown, RI 35006",Annahaven,626-321-0040x18014
124,Salad,50,2025-03-19,909,Restaurant,Sheilaburgh,Vegetarian,Snacks,2025,March,19,"Gibbs, Green and Krause",Restaurant,"9340 Dalton Junctions Suite 998
Tiffanymouth, SD 76155",Sheilaburgh,001-228-747-8247x18530
125,Rice,21,2025-03-17,982,Grocery Store,Westbury,Vegan,Dinner,2025,March,17,Martinez PLC,Grocery Store,"93509 Solomon Station
Sarahview, NH 55581",Westbury,944-129-2371x8219
126,Dairy,27,2025-03-18,54,Supermarket,Lake Rachael,Vegan,Lunch,2025,March,18,"Bennett, Phillips and Green",Supermarket,"Unit 0882 Box 8764
DPO AE 00627",Lake Rachael,001-350-580-0382x854
